No,Product ID,SKU,Product Name,Category,GSM,Size,Printing Type,Sides,Cost Slab Count
1,u9z9m7jw8pu2f65og1wozz1g,PW100,ACRYLIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
2,orqn3xc6ldcv3y0hgxc6jb9d,PW101,ACRYLIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
3,m5pziwkbwmql8bvpfy9ofqex,PW102,ACRYLIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
4,m17v7shi9pmv8cjqikljyhl4,PW103,ACRYLIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
5,xz29o2lrbagkmqdtzpdr3xdw,PW104,ACRYLIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
6,g6k2fvpmf22j81ooe578c8iu,PW94,ACRYLIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,4
7,r9rqp26v7njhldo131y3p61f,PW95,ACRYLIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,4
8,dujdwj489mawo06a7qncchfk,PW96,ACRYLIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,4
9,d1fv8jd9pmv7526wijwcdf1e,PW97,ACRYLIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
10,on6xsg28289w7cwvj75f3rbq,PW98,ACRYLIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
11,gnkddc5ljavihalm3s0hp9jh,PW99,ACRYLIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
12,txzn7uyfg66knzumlh0nnnwk,PW1,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
13,wi5nr1jjau730m1nagrz0njt,PW10,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
14,erkd4p8puei7qdlhjtewyj4c,PW11,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
15,d4i0q9d6ypn4nuuy36722vpp,PW12,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
16,u4joftg1una5txy6twrdj4g6,PW13,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
17,i8tv34btgglsu0xro5pmi9ol,PW14,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
18,rokcmf7bfiuwrpzfzj1kl70c,PW15,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
19,cbwhfrjwlglsxrs8e0p6j5k7,PW16,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
20,xxeuacw0fc3v5exwakttc8m1,PW17,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
21,v0r5g8yvpubb017ficqh5iv9,PW18,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
22,jzco5666wmb7joi62i0ot7ir,PW19,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
23,lnna3rm8dxie4upzn4wwirw0,PW2,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
24,zwhvtmij212ihnb4dqjh1p7q,PW20,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
25,i9160lgugvz5bab7ol1xzs5y,PW21,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
26,i66q9e2t5rlwep7l3x5nd13w,PW22,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
27,ye2pxe5jsdtd1ian1oof9e4p,PW23,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
28,oznf0x9kafa5ekgfdp3pzrfr,PW24,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
29,f7zy899a3p02wj27s5qfskae,PW25,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
30,eto9a0nscbjweoailix35w65,PW26,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
