No,Product ID,SKU,Product Name,Category,GSM,Size,Printing Type,Sides
1,cmolfs32y00zoouqm3mn841w2,BB100811,BILL BOOK,BILL BOOK,100,8.5*11,OFFSET,DOUBLE_SIDE
2,cmolfrnwk00y2ouqmy9zdgk38,BB70811,BILL BOOK,BILL BOOK,70,8.5*11,OFFSET,SINGLE_SIDE
3,cmolfs0dy00zfouqm368s24pc,CD354,CARD,CARD,250,3.5*4,OFFSET,SINGLE_SIDE
4,prod_ct_scan_bag_big,CT-BAG-16X21,CT Scan Bag Big,Diagnostic Bags,0,16x21,OFFSET,SINGLE_SIDE
5,prod_xray_bag_small,XRAY-BAG-10.5X16,X-ray Bag Small,Diagnostic Bags,0,10.5x16,OFFSET,SINGLE_SIDE
6,cmolfryv100z9ouqmgoln5x2n,DM70754,DOT MATRIX BILL,DOT MATRIX BILL,70,7.5*4,OFFSET,SINGLE_SIDE
7,cmolfs52700zuouqmkbg9qimc,EN1003544,ENVELOPE,ENVELOPES,100,3.5*44,OFFSET,DOUBLE_SIDE
8,cmolfrg4f00xeouqmuvviophm,EN6045,ENVELOPE,ENVELOPES,60,4*5,OFFSET,DOUBLE_SIDE
9,cmolfrgdn00xfouqmnz49btet,EN6047,ENVELOPE,ENVELOPES,60,4*7,OFFSET,DOUBLE_SIDE
10,cmolfrhbt00xiouqm2f8822sc,EN6049,ENVELOPE,ENVELOPES,60,4*9,OFFSET,DOUBLE_SIDE
11,cmolfrgn300xgouqm0189a3fj,EN6058,ENVELOPE,ENVELOPES,60,5.5*8,OFFSET,DOUBLE_SIDE
12,cmolfrh2d00xhouqm9xs3ay3x,EN60811,ENVELOPE,ENVELOPES,60,8.5*11,OFFSET,DOUBLE_SIDE
13,cmolfs44v00zsouqmhs5u24br,EN70912,ENVELOPE,ENVELOPES,70,9*12,OFFSET,DOUBLE_SIDE
14,cmolfriao00xlouqm5tk5gtri,EN804510,ENVELOPE,ENVELOPES,80,4.5*10,OFFSET,DOUBLE_SIDE
15,cmolfs2tf00znouqm30xssb7w,EN9045,ENVELOPE,ENVELOPES,90,4*5,OFFSET,DOUBLE_SIDE
16,sfbpz06d27m2w5yw2sx94no1,ENW49,ENVELOPE WINDOW,ENVELOPES,70,4.25*9.25,OFFSET,DOUBLE_SIDE
17,cmolfs1c200ziouqm02u3jrt8,FL15350BS,FILE,FILE,300,15*20,OFFSET,DOUBLE_SIDE
18,os1wre3j61weg2v2n8sqgjl6,FL250SS912,SMALL DR FILES ,FILE,250,6*9,OFFSET,SINGLE_SIDE
19,cmolfrmvf00xzouqmk7frf3ci,LH10058,LETTERHEAD,LETTERHEAD,100,5.5*8.5,OFFSET,SINGLE_SIDE
20,cmolfrlnq00xvouqmlebosf4i,LH7058,LETTERHEAD,LETTERHEAD,70,5.5*8.5,OFFSET,SINGLE_SIDE
21,cmolfrm6900xxouqmfddxqvep,LH8058,LETTERHEAD,LETTERHEAD,80,5.5*8.5,OFFSET,SINGLE_SIDE
22,i4wqw3ky0q1p8a2bi9sybis9,HBAGMC1215,MULTICOLOR PRINTED HANDLE BAG,NON WOVEN D CUT BAG,70,12*15,OFFSET,DOUBLE_SIDE
23,p1g8yocpwspgfiapyyzaejzo,DCUT1218,NON WOVEN D CUT BAG,NON WOVEN D CUT BAG,70,12*18,OFFSET,DOUBLE_SIDE
24,wtojxyv8q01okq9zean47bmc,DCUT1621,NON WOVEN D CUT BAG,NON WOVEN D CUT BAG,70,16*21,OFFSET,DOUBLE_SIDE
25,u8zsesdk45tqiqebitoplnrm,DCUTMC1014,NON WOVEN D CUT BAG MULTICOLOR PRINTING,NON WOVEN D CUT BAG,80,10*14,OFFSET,DOUBLE_SIDE
26,q94mdi059wd1ohage5cbm2qx,DCUTMC912,NON WOVEN D CUT BAG MULTICOLOR PRINTING,NON WOVEN D CUT BAG,80,9*12,OFFSET,DOUBLE_SIDE
27,cmph665unfg3mke4gl1arc0v,PP1218SS250,Broucher,PAMPHLET,250,12*18,OFFSET,SINGLE_SIDE
28,cmolfrt0k00yoouqmtv47ed3k,PP6058,PAMPHLET,PAMPHLET,60,5.5*8.5,OFFSET,SINGLE_SIDE
29,cmolfrt9z00ypouqmwwm2nxu3,PP60811,PAMPHLET,PAMPHLET,60,8.5*11,OFFSET,SINGLE_SIDE
30,cmolfrtsu00yrouqmphni7lx3,PP7058BS,PAMPHLET,PAMPHLET,70,5.5*8.5,OFFSET,DOUBLE_SIDE
31,cmolfrurv00yuouqm61c7utn1,PP70811,PAMPHLET,PAMPHLET,80,8.5*11,OFFSET,SINGLE_SIDE
32,prod_pp_file_punching,PP-FILE-PUNCH,PP Files with Punching,PP Files,300,12x18,OFFSET,SINGLE_SIDE
33,cmolfs1v000zkouqmvd0q8ngk,PVB1115,PVC BAG,PVC BAG,150,11*15,OFFSET,DOUBLE_SIDE
34,cmolfrzvx00zeouqmtz51hrn8,PVB1626,PVC BAG,PVC BAG,150,16*26,OFFSET,SINGLE_SIDE
35,cmolfs24q00zlouqm7f8u6n47,END45,DAWAI ENVELOP,READYMADE ENVELOPE,70,4*5,OFFSET,DOUBLE_SIDE
36,cmolfs1lk00zjouqmz0yitykw,END58,DAWAI ENVELOP,READYMADE ENVELOPE,70,5.5*8,OFFSET,DOUBLE_SIDE
37,e338hypyzax71k1v3unllojy,OP1218,PRINTOUT,STICKER,250,12*18,DIGITAL,SINGLE_SIDE
38,cmolfrz4h00zaouqmsk8vvdut,ST12,STICKER,STICKER,90,1*2,OFFSET,SINGLE_SIDE
39,cmolfrzdx00zbouqm8md8bttv,ST1218,STICKER,STICKER,90,12*18,OFFSET,SINGLE_SIDE
40,cmolfs3cj00zpouqm2vmsrjfs,ST21,STICKER,STICKER,90,2*1,OFFSET,SINGLE_SIDE
41,cmolfs3lx00zqouqmev7fzlgh,ST31,STICKER,STICKER,90,3*1,OFFSET,SINGLE_SIDE
42,cmolfs2e500zmouqmf8x8qt6s,ST53,STICKER,STICKER,90,5*3,OFFSET,SINGLE_SIDE
43,lyy8x4wy2ewch2rff57rfrhk,ST3.5*4,STICKERS,STICKER,90,3.5*4,OFFSET,SINGLE_SIDE
44,rpiidky0y2f193ftg9lkwsjz,ST54,STICKERS,STICKER,90,5*4,OFFSET,SINGLE_SIDE
45,cmolfrptw00yeouqmtxx5v8lp,XR1501115,XRAY BAG,XRAY BAG,150,11*15,OFFSET,DOUBLE_SIDE
